learning_rate,hidden_size1,hidden_size2,accuracy
0.001,1,1,0.6066666666666667
0.001,1,2,0.6075
0.001,1,4,0.5966666666666667
0.001,1,8,0.5966666666666667
0.001,1,16,0.5883333333333334
0.001,1,32,0.6133333333333333
0.001,1,64,0.6116666666666667
0.001,1,128,0.5983333333333334
0.001,1,256,0.6316666666666667
0.001,1,512,0.5966666666666667
0.001,2,1,0.6116666666666667
0.001,2,2,0.6208333333333333
0.001,2,4,0.6158333333333333
0.001,2,8,0.6016666666666667
0.001,2,16,0.63
0.001,2,32,0.6141666666666666
0.001,2,64,0.5966666666666667
0.001,2,128,0.5941666666666666
0.001,2,256,0.6441666666666667
0.001,2,512,0.6116666666666667
0.001,4,1,0.6158333333333333
0.001,4,2,0.605
0.001,4,4,0.6291666666666667
0.001,4,8,0.6133333333333333
0.001,4,16,0.6141666666666666
0.001,4,32,0.5891666666666666
0.001,4,64,0.6416666666666667
0.001,4,128,0.61
0.001,4,256,0.6208333333333333
0.001,4,512,0.605
0.001,8,1,0.6075
0.001,8,2,0.585
0.001,8,4,0.6325
0.001,8,8,0.6158333333333333
0.001,8,16,0.5991666666666666
0.001,8,32,0.6375
0.001,8,64,0.6025
0.001,8,128,0.585
0.001,8,256,0.61
0.001,8,512,0.6558333333333334
0.001,16,1,0.6466666666666666
0.001,16,2,0.61
0.001,16,4,0.625
0.001,16,8,0.6075
0.001,16,16,0.6358333333333334
0.001,16,32,0.5933333333333334
0.001,16,64,0.6025
0.001,16,128,0.6008333333333333
0.001,16,256,0.5883333333333334
0.001,16,512,0.6425
0.001,32,1,0.65
0.001,32,2,0.6083333333333333
0.001,32,4,0.6291666666666667
0.001,32,8,0.6058333333333333
0.001,32,16,0.6191666666666666
0.001,32,32,0.6091666666666666
0.001,32,64,0.5958333333333333
0.001,32,128,0.6241666666666666
0.001,32,256,0.615
0.001,32,512,0.5916666666666667
0.001,64,1,0.6241666666666666
0.001,64,2,0.5858333333333333
0.001,64,4,0.5891666666666666
0.001,64,8,0.5833333333333334
0.001,64,16,0.6283333333333333
0.001,64,32,0.6458333333333334
0.001,64,64,0.6058333333333333
0.001,64,128,0.6233333333333333
0.001,64,256,0.5975
0.001,64,512,0.5833333333333334
0.001,128,1,0.59
0.001,128,2,0.6058333333333333
0.001,128,4,0.5933333333333334
0.001,128,8,0.6008333333333333
0.001,128,16,0.6375
0.001,128,32,0.5933333333333334
0.001,128,64,0.6125
0.001,128,128,0.5691666666666667
0.001,128,256,0.5916666666666667
0.001,128,512,0.6391666666666667
0.001,256,1,0.5966666666666667
0.001,256,2,0.6208333333333333
0.001,256,4,0.615
0.001,256,8,0.5958333333333333
0.001,256,16,0.5975
0.001,256,32,0.5966666666666667
0.001,256,64,0.6075
0.001,256,128,0.6083333333333333
0.001,256,256,0.6275
0.001,256,512,0.6266666666666667
0.001,512,1,0.6025
0.001,512,2,0.62
0.001,512,4,0.6308333333333334
0.001,512,8,0.595
0.001,512,16,0.6191666666666666
0.001,512,32,0.615
0.001,512,64,0.5675
0.001,512,128,0.5875
0.001,512,256,0.6275
0.001,512,512,0.5925
0.005,1,1,0.6325
0.005,1,2,0.595
0.005,1,4,0.6033333333333334
0.005,1,8,0.63
0.005,1,16,0.6091666666666666
0.005,1,32,0.6166666666666667
0.005,1,64,0.625
0.005,1,128,0.6383333333333333
0.005,1,256,0.585
0.005,1,512,0.6225
0.005,2,1,0.6225
0.005,2,2,0.6191666666666666
0.005,2,4,0.62
0.005,2,8,0.6333333333333333
0.005,2,16,0.6241666666666666
0.005,2,32,0.6016666666666667
0.005,2,64,0.6233333333333333
0.005,2,128,0.6091666666666666
0.005,2,256,0.585
0.005,2,512,0.61
0.005,4,1,0.6258333333333334
0.005,4,2,0.6458333333333334
0.005,4,4,0.6133333333333333
0.005,4,8,0.6125
0.005,4,16,0.6291666666666667
0.005,4,32,0.6066666666666667
0.005,4,64,0.62
0.005,4,128,0.6208333333333333
0.005,4,256,0.6333333333333333
0.005,4,512,0.6283333333333333
0.005,8,1,0.585
0.005,8,2,0.6133333333333333
0.005,8,4,0.6108333333333333
0.005,8,8,0.5883333333333334
0.005,8,16,0.5891666666666666
0.005,8,32,0.5991666666666666
0.005,8,64,0.6533333333333333
0.005,8,128,0.5933333333333334
0.005,8,256,0.6383333333333333
0.005,8,512,0.6141666666666666
0.005,16,1,0.6483333333333333
0.005,16,2,0.5908333333333333
0.005,16,4,0.6233333333333333
0.005,16,8,0.6133333333333333
0.005,16,16,0.5891666666666666
0.005,16,32,0.6233333333333333
0.005,16,64,0.5891666666666666
0.005,16,128,0.6466666666666666
0.005,16,256,0.6216666666666667
0.005,16,512,0.61
0.005,32,1,0.6191666666666666
0.005,32,2,0.635
0.005,32,4,0.6108333333333333
0.005,32,8,0.6091666666666666
0.005,32,16,0.5991666666666666
0.005,32,32,0.6583333333333333
0.005,32,64,0.6191666666666666
0.005,32,128,0.6166666666666667
0.005,32,256,0.6325
0.005,32,512,0.6116666666666667
0.005,64,1,0.6191666666666666
0.005,64,2,0.6283333333333333
0.005,64,4,0.6233333333333333
0.005,64,8,0.625
0.005,64,16,0.6333333333333333
0.005,64,32,0.6275
0.005,64,64,0.6458333333333334
0.005,64,128,0.6233333333333333
0.005,64,256,0.5833333333333334
0.005,64,512,0.58
0.005,128,1,0.5808333333333333
0.005,128,2,0.5958333333333333
0.005,128,4,0.6283333333333333
0.005,128,8,0.635
0.005,128,16,0.6258333333333334
0.005,128,32,0.6141666666666666
0.005,128,64,0.6258333333333334
0.005,128,128,0.6283333333333333
0.005,128,256,0.6125
0.005,128,512,0.5875
0.005,256,1,0.6216666666666667
0.005,256,2,0.6083333333333333
0.005,256,4,0.6208333333333333
0.005,256,8,0.6466666666666666
0.005,256,16,0.6416666666666667
0.005,256,32,0.6233333333333333
0.005,256,64,0.6258333333333334
0.005,256,128,0.605
0.005,256,256,0.5883333333333334
0.005,256,512,0.6
0.005,512,1,0.6108333333333333
0.005,512,2,0.5883333333333334
0.005,512,4,0.6066666666666667
0.005,512,8,0.5933333333333334
0.005,512,16,0.615
0.005,512,32,0.5841666666666666
0.005,512,64,0.5975
0.005,512,128,0.6175
0.005,512,256,0.6233333333333333
0.005,512,512,0.6341666666666667
0.01,1,1,0.6258333333333334
0.01,1,2,0.6058333333333333
0.01,1,4,0.5958333333333333
0.01,1,8,0.5791666666666667
0.01,1,16,0.5891666666666666
0.01,1,32,0.6175
0.01,1,64,0.625
0.01,1,128,0.605
0.01,1,256,0.6308333333333334
0.01,1,512,0.59
0.01,2,1,0.6033333333333334
0.01,2,2,0.62
0.01,2,4,0.6225
0.01,2,8,0.5833333333333334
0.01,2,16,0.585
0.01,2,32,0.6158333333333333
0.01,2,64,0.655
0.01,2,128,0.6466666666666666
0.01,2,256,0.6325
0.01,2,512,0.6291666666666667
0.01,4,1,0.64
0.01,4,2,0.5825
